author,quote,rank,rate,title
安妮宝贝 ,七月与安生,10,7.5,"
                告别薇安

                
              "
梁文道 ,献给这个常识稀缺的时代,11,8.1,"
                常识

                
              "
王小波 ,王小波与李银河的两地书,12,8.8,"
                爱你就像爱生命

                
              "
三毛 ,不枉来这世上走一遭,13,9.3,"
                撒哈拉的故事

                
              "
桐华 ,现世太苦，不如穿越回去从头来过,14,8.1,"
                步步惊心

                
              "
蔡崇达 ,皮囊之下，骨肉相连,15,7.7,"
                皮囊

                
              "
安妮宝贝 ,关于遗忘和记得的故事,16,7.7,"
                二三事

                
              "
余华 ,失控边缘的下部，但谁说荒诞就是不真,17,7.4,"
                兄弟（下）

                
              "
蒋勋 ,作为一种美学的孤独,18,8.1,"
                孤独六讲

                
              "
(法)古斯塔夫.勒庞 ,群氓心理剖析,19,8.3,"
                乌合之众

                
                  ,
              "
南派三叔 ,秦岭神树细思极恐,20,8.2,"
                盗墓笔记2

                
                  ,
              "
当年明月 ,大明朝当真名士如云,21,8.8,"
                明朝那些事儿（肆）

                
                  ,
              "
鲍鲸鲸 ,失恋是一种病，痊愈之后百毒不侵,22,8.1,"
                失恋33天

                
                  ,
              "
[英] 乔治·奥威尔 ,太阳底下并无新事,23,9.2,"
                动物农场

                
              "
饶雪漫 ,当时只道是寻常,24,7.0,"
                左耳

                
              "
金庸 ,武侠的解构，流氓的狂欢,25,8.8,"
                鹿鼎记（全五册）

                
              "
[澳] 考琳·麦卡洛 ,澳洲乱世情,1,8.6,"
                荆棘鸟

                
              "
郭敬明 ,明媚啊明媚,2,6.7,"
                左手倒影，右手年华。

                
              "
韩寒 ,青春期习作,3,7.2,"
                零下一度

                
              "
韩寒 ,属于少年的日子飞驰而过,4,7.3,"
                像少年啦飞驰

                
              "
[美] 彼得·海斯勒 ,中国在路上，非虚构写作所能达到的高度,5,9.0,"
                寻路中国

                
                  ,
              "
七堇年 ,“要有最朴素的生活，与最遥远的梦想“,6,7.8,"
                被窝是青春的坟墓

                
              "
廖信忠 ,平民视角下的台湾大事记,7,7.4,"
                我们台湾这些年

                
                  ,
              "
[日] 村上春树 ,兜了一大圈，村上还是回归了他的小确幸,8,7.6,"
                1Q84 BOOK 3

                
                  ,
              "
[日] 岩井俊二 ,残酷青春的艰难呼吸,9,7.7,"
                关于莉莉周的一切

                
              "
藤子・F・不二雄 ,满满的回忆,10,9.5,"
                机器猫哆啦A梦23

                
              "
鲁迅 ,哀其不幸，怒其不争,11,8.7,"
                阿Q正传

                
                  ,
              "
大冰 ,他人的生活总是比你的精彩,12,7.4,"
                乖，摸摸头

                
              "
七堇年 ,两代人的成长与救赎,13,8.2,"
                大地之灯

                
              "
[英]克莱儿·麦克福尔 ,,14,6.3,"
                摆渡人

                
              "
王小波 ,永远生猛下去,15,8.9,"
                黄金时代

                
              "
