name,point,rank,Win Rate,Wins,Win Rank,Kill / Death Ratio,Kills,Kill Rank,macth played,daliy logins,avg distance travelled,Total Distance Travelled,AVG Distance On Foot,AVG Distance In Vehicle,Weapons Acquired,Vehicles Destroyed,Total Damage Dealt,Top 10 Rate,Top 10s,AVG Survival Time,Longest Time Survived,Total Heals,Total Boosts,Team Kills,Suicides,Revives,AVG Damage Per Match,Most Kills In Match,Assists,KDA,Headshots,Headshot Kill Ratio,Longest Kill,Road Kills,Best Kill Streak,DBNO
100001683QvQ,1375,864142,100.00%,1,825079,0.00,7,1075494,1,1,7.58 km,7.58 km,2.63 km,4.95 km,10,0,898,100.00%,1,31m,31m,1,6,0,0,1,897.90,7,1,0.00,1,14.29%,145 m,0,2,3,
f0sverd,2593,40,52.44%,86,36,5.65,441,118,164,23,6.26 km,1027.34 km,2.14 km,4.13 km,828,17,56191,90.85%,149,26m,33m,565,538,0,0,78,342.63,13,307,9.59,77,17.46%,616 m,1,3,323,
dannyZdog,2593,40,52.44%,86,36,5.65,441,118,164,23,6.26 km,1027.34 km,2.14 km,4.13 km,828,17,56191,90.85%,149,26m,33m,565,538,0,0,78,342.63,13,307,9.59,77,17.46%,616 m,1,3,323,
stack4an,2591,42,40.78%,104,40,4.22,637,96,255,33,6.44 km,1643.42 km,2.51 km,3.93 km,916,27,87466,83.92%,214,25m,36m,1197,714,3,0,109,343.00,12,323,6.36,111,17.43%,408 m,10,4,500,
Sin3d,1533,577523,0.00%,0,880831,1.95,172,27042,88,31,1.90 km,166.96 km,0.81 km,1.09 km,262,1,22512,13.64%,12,8m,31m,147,68,0,0,3,255.82,18,11,2.08,38,22.09%,315 m,1,4,165,
Pablitos,2584,43,37.38%,77,39,2.89,373,176,206,37,6.60 km,1359.37 km,2.04 km,4.55 km,1011,19,54263,88.83%,183,25m,34m,562,844,0,0,59,263.41,12,247,4.81,67,17.96%,401 m,2,8,311,
Mybri,2591,44,43.48%,130,38,3.50,592,245,299,37,6.71 km,2007.33 km,2.02 km,4.69 km,1351,35,89346,90.97%,272,25m,36m,1462,768,1,0,70,298.81,9,376,5.73,101,17.06%,480 m,6,4,486,
Cwardio,2591,44,43.48%,130,38,3.50,592,245,299,37,6.71 km,2007.33 km,2.02 km,4.69 km,1351,35,89346,90.97%,272,25m,36m,1462,768,1,0,70,298.81,9,376,5.73,101,17.06%,480 m,6,4,486,
2gap1h,2597,45,42.37%,100,47,4.58,623,64,236,29,6.96 km,1643.44 km,2.05 km,4.92 km,1030,21,82171,88.56%,209,26m,36m,935,863,5,2,75,348.18,10,296,6.76,102,16.37%,520 m,2,4,524,
KingKevinz,2012,8030,57.89%,11,6908,7.38,59,40528,19,9,7.61 km,144.59 km,1.90 km,5.71 km,90,2,8280,94.74%,18,26m,32m,84,67,0,0,13,435.79,8,31,11.25,8,13.56%,706 m,1,2,46,
