name,point,rank,Win Rate,Wins,Win Rank,Kill / Death Ratio,Kills,Kill Rank,macth played,daliy logins,avg distance travelled,Total Distance Travelled,AVG Distance On Foot,AVG Distance In Vehicle,Weapons Acquired,Vehicles Destroyed,Total Damage Dealt,Top 10 Rate,Top 10s,AVG Survival Time,Longest Time Survived,Total Heals,Total Boosts,Team Kills,Suicides,Revives,AVG Damage Per Match,Most Kills In Match,Assists,KDA,Headshots,Headshot Kill Ratio,Longest Kill,Road Kills,Best Kill Streak,DBNO
DOYOUKNOWTAIWAN,2779,1035,24.52%,38,1379,4.09,478,980,155,18,6.73 km,1043.13 km,1.98 km,4.75 km,698,9,69248,72.26%,112,24m,36m,467,346,5,2,66,446.76,13,88,4.84,64,13.39%,425 m,6,4,469,
Tiroa,2958,62,32.13%,89,44,2.74,516,1973,277,31,7.29 km,2018.63 km,2.42 km,4.86 km,1593,32,79227,89.53%,248,26m,33m,737,783,5,1,91,286.02,11,291,4.29,85,16.47%,532 m,2,4,427,
Ddukbeagihunter,2966,63,35.30%,227,90,4.68,1945,127,643,37,6.15 km,3953.78 km,2.08 km,4.07 km,2988,75,264304,85.07%,547,23m,36m,1771,2194,3,1,235,411.05,24,843,6.70,341,17.53%,488 m,12,5,1584,
LeeJinTen,2966,64,39.34%,131,66,3.53,713,738,333,36,7.41 km,2469.08 km,1.86 km,5.56 km,1545,32,94579,88.29%,294,26m,36m,807,937,2,1,109,284.02,10,349,5.26,92,12.90%,444 m,6,5,560,
YUBEEEN,2961,65,47.71%,73,63,5.05,404,890,153,21,8.07 km,1234.48 km,2.40 km,5.67 km,790,32,57009,92.81%,142,26m,36m,474,384,1,0,40,372.61,16,193,7.46,63,15.59%,480 m,9,3,328,
Eorlt,2954,66,38.54%,148,70,3.89,919,565,384,32,6.92 km,2655.65 km,2.26 km,4.65 km,1765,41,133007,83.33%,320,24m,33m,1318,1147,3,2,122,346.37,10,399,5.58,155,16.87%,722 m,11,4,737,
TTUKBAEGI_1,2953,67,42.96%,177,80,5.25,1233,392,412,37,7.14 km,2942.89 km,2.26 km,4.89 km,2023,36,166302,86.89%,358,25m,36m,801,905,4,0,140,403.65,14,471,7.25,231,18.73%,509 m,21,4,1006,
WG_qun585333003,2953,67,42.96%,177,80,5.25,1233,392,412,37,7.14 km,2942.89 km,2.26 km,4.89 km,2023,36,166302,86.89%,358,25m,36m,801,905,4,0,140,403.65,14,471,7.25,231,18.73%,509 m,21,4,1006,
daengchae,2952,68,51.87%,111,56,5.24,540,1174,214,27,8.01 km,1713.85 km,2.03 km,5.98 km,966,22,78075,92.52%,198,27m,36m,572,481,1,0,67,364.84,12,307,8.22,84,15.56%,448 m,9,5,428,
GochuBong,2963,69,48.47%,127,71,5.02,678,758,262,24,7.61 km,1993.82 km,2.23 km,5.38 km,1155,45,96497,87.79%,230,26m,35m,778,1194,2,2,94,368.31,13,353,7.64,110,16.22%,488 m,8,4,558,
YounghoPark,2952,70,49.52%,103,78,5.76,605,515,208,27,7.87 km,1637.12 km,2.16 km,5.71 km,1102,21,86008,93.27%,194,26m,36m,496,562,0,0,60,413.50,14,336,8.96,114,18.84%,785 m,7,3,468,
SIHUN,2952,70,49.52%,103,78,5.76,605,515,208,27,7.87 km,1637.12 km,2.16 km,5.71 km,1102,21,86008,93.27%,194,26m,36m,496,562,0,0,60,413.50,14,336,8.96,114,18.84%,785 m,7,3,468,
Pull7,2952,70,49.52%,103,78,5.76,605,515,208,27,7.87 km,1637.12 km,2.16 km,5.71 km,1102,21,86008,93.27%,194,26m,36m,496,562,0,0,60,413.50,14,336,8.96,114,18.84%,785 m,7,3,468,
DORA,2952,70,49.52%,103,78,5.76,605,515,208,27,7.87 km,1637.12 km,2.16 km,5.71 km,1102,21,86008,93.27%,194,26m,36m,496,562,0,0,60,413.50,14,336,8.96,114,18.84%,785 m,7,3,468,
Qqun647251514,2951,74,76.32%,58,112,65.61,1181,92,76,6,4.84 km,367.70 km,2.34 km,2.50 km,326,5,124082,85.53%,65,24m,30m,27,253,2,1,7,1632.65,37,55,68.67,337,28.54%,999 m,7,12,896,
